id,station_id,timestamp,fuel_type,price,latitude,longitude,previous_price
2026-03-16T08:06:32.774582,1240297,Mengin Biebertal-Rodheim,Mengin,Biebertal-Rodheim,e5p,1.989
2026-03-16T08:06:32.774582,1247288,Roth Energie & Tankstop Best Lahnau Waldgirmes,Roth Energie & Tankstop Best,Lahnau Waldgirmes,e5p,2.009
2026-03-16T08:06:32.774582,1238450,ARAL Wettenberg,ARAL,Wettenberg,e5p,2.019
2026-03-16T08:06:32.774582,1243122,Jung Bischoffen,Jung,Bischoffen,e5p,2.044
2026-03-16T08:06:32.774582,1244308,Esso Hohenahr,Esso,Hohenahr,e5p,2.059
2026-03-16T08:06:32.774582,1235075,ARAL Lahnau,ARAL,Lahnau,e5p,2.109
2026-03-16T08:06:32.774582,1240122,PT Tankstelle Becker Wettenberg,PT Tankstelle Becker,Wettenberg,diesel,2.089
2026-03-16T08:06:32.774582,1247288,Roth Energie & Tankstop Best Lahnau Waldgirmes,Roth Energie & Tankstop Best,Lahnau Waldgirmes,diesel,2.099
2026-03-16T08:06:32.774582,1806060,Q1 Lollar,Q1,Lollar,diesel,2.109
2026-03-16T08:06:32.774582,1238016,Mengin Lollar-Odenhausen,Mengin,Lollar-Odenhausen,diesel,2.119
2026-03-16T08:06:32.774582,1243863,JET GIESSEN,JET,GIESSEN,diesel,2.119
2026-03-16T08:06:32.774582,1240921,Roth- Energie Gießen,Roth- Energie,Gießen,diesel,2.119
2026-03-16T08:06:32.774582,1241880,Access Heuchelheim,Access,Heuchelheim,diesel,2.119
2026-03-16T08:06:32.774582,1244121,JET HEUCHELHEIM,JET,HEUCHELHEIM,diesel,2.119
2026-03-16T08:06:32.774582,1239038,Mandler Tank & Wasch Heuchelheim,Mandler Tank & Wasch,Heuchelheim,diesel,2.119
2026-03-16T08:06:32.774582,1240297,Mengin Biebertal-Rodheim,Mengin,Biebertal-Rodheim,diesel,2.119
2026-03-16T08:06:32.774582,1243122,Jung Bischoffen,Jung,Bischoffen,diesel,2.134
2026-03-16T08:06:32.774582,1238450,ARAL Wettenberg,ARAL,Wettenberg,diesel,2.149
2026-03-16T08:06:32.774582,1244308,Esso Hohenahr,Esso,Hohenahr,diesel,2.149
2026-03-16T08:06:32.774582,1235075,ARAL Lahnau,ARAL,Lahnau,diesel,2.219
2026-03-16T09:39:00.013678,1240921,Roth- Energie Gießen,Roth- Energie,Gießen,e5,2.049
2026-03-16T09:39:00.013678,1241880,Access Heuchelheim,Access,Heuchelheim,e5,2.049
2026-03-16T09:39:00.013678,1240122,PT Tankstelle Becker Wettenberg,PT Tankstelle Becker,Wettenberg,e5,2.049
2026-03-16T09:39:00.013678,1244121,JET HEUCHELHEIM,JET,HEUCHELHEIM,e5,2.049
2026-03-16T09:39:00.013678,1239038,Mandler Tank & Wasch Heuchelheim,Mandler Tank & Wasch,Heuchelheim,e5,2.049
2026-03-16T09:39:00.013678,1240297,Mengin Biebertal-Rodheim,Mengin,Biebertal-Rodheim,e5,2.049
2026-03-16T09:39:00.013678,1806060,Q1 Lollar,Q1,Lollar,e5,2.069
2026-03-16T09:39:00.013678,1238450,ARAL Wettenberg,ARAL,Wettenberg,e5,2.069
2026-03-16T09:39:00.013678,1238016,Mengin Lollar-Odenhausen,Mengin,Lollar-Odenhausen,e5,2.079
2026-03-16T09:39:00.013678,1243863,JET GIESSEN,JET,GIESSEN,e5,2.079
2026-03-16T09:39:00.013678,1235075,ARAL Lahnau,ARAL,Lahnau,e5,2.089
2026-03-16T09:39:00.013678,1243122,Jung Bischoffen,Jung,Bischoffen,e5,2.104
2026-03-16T09:39:00.013678,1247288,Roth Energie & Tankstop Best Lahnau Waldgirmes,Roth Energie & Tankstop Best,Lahnau Waldgirmes,e5,2.119
2026-03-16T09:39:00.013678,1244308,Esso Hohenahr,Esso,Hohenahr,e5,2.119
2026-03-16T09:39:00.013678,1240921,Roth- Energie Gießen,Roth- Energie,Gießen,e10,1.989
2026-03-16T09:39:00.013678,1241880,Access Heuchelheim,Access,Heuchelheim,e10,1.989
2026-03-16T09:39:00.013678,1244121,JET HEUCHELHEIM,JET,HEUCHELHEIM,e10,1.989
2026-03-16T09:39:00.013678,1239038,Mandler Tank & Wasch Heuchelheim,Mandler Tank & Wasch,Heuchelheim,e10,1.989
2026-03-16T09:39:00.013678,1240297,Mengin Biebertal-Rodheim,Mengin,Biebertal-Rodheim,e10,1.989
2026-03-16T09:39:00.013678,1238450,ARAL Wettenberg,ARAL,Wettenberg,e10,2.009
2026-03-16T09:39:00.013678,1238016,Mengin Lollar-Odenhausen,Mengin,Lollar-Odenhausen,e10,2.019
2026-03-16T09:39:00.013678,1243863,JET GIESSEN,JET,GIESSEN,e10,2.019
2026-03-16T09:39:00.013678,1806060,Q1 Lollar,Q1,Lollar,e10,2.019
2026-03-16T09:39:00.013678,1235075,ARAL Lahnau,ARAL,Lahnau,e10,2.029
